raceId,circuitId,constructorId,driverId,year,lap,tire_age,milliseconds
1,1,2,9,2009,4,4,89659
1,1,2,9,2009,5,5,89530
1,1,2,9,2009,6,6,89854
1,1,2,9,2009,7,7,90156
1,1,2,9,2009,8,8,90994
1,1,2,9,2009,9,9,91634
1,1,2,9,2009,10,10,92751
1,1,2,9,2009,11,11,94518
1,1,2,9,2009,12,12,111650
1,1,2,9,2009,13,13,94907
1,1,2,9,2009,14,14,90294
1,1,2,9,2009,15,15,90002
1,1,2,9,2009,16,16,89900
1,1,2,9,2009,17,17,89941
1,1,2,9,2009,18,18,92356
1,1,2,9,2009,19,19,99245
1,1,2,9,2009,20,20,113022
1,1,2,9,2009,21,21,107508
1,1,2,9,2009,22,22,155096
1,1,2,9,2009,23,23,152074
1,1,2,9,2009,24,24,142426
1,1,2,9,2009,25,25,94262
1,1,2,9,2009,26,26,91378
1,1,2,9,2009,27,27,90551
1,1,2,9,2009,28,28,89371
1,1,2,9,2009,29,29,89489
1,1,2,9,2009,30,30,89182
1,1,2,9,2009,31,31,88976
1,1,2,9,2009,32,32,88493
1,1,2,9,2009,33,33,88169
1,1,2,9,2009,34,34,87989
1,1,2,9,2009,35,35,88268
1,1,2,9,2009,36,36,87988
1,1,2,9,2009,37,37,88494
1,1,2,9,2009,38,38,88475
1,1,2,9,2009,39,39,105984
1,1,2,9,2009,40,40,94943
1,1,2,9,2009,41,41,89567
1,1,2,9,2009,42,42,89760
1,1,2,9,2009,43,43,89427
1,1,2,9,2009,44,44,88842
1,1,2,9,2009,45,45,88966
1,1,2,9,2009,46,46,88961
1,1,2,9,2009,47,47,89218
1,1,2,9,2009,48,48,89305
1,1,2,9,2009,49,49,89186
1,1,2,9,2009,50,50,89566
1,1,2,9,2009,51,51,89832
1,1,2,9,2009,52,52,89297
1,1,2,9,2009,53,53,89306
1,1,2,9,2009,54,54,89427
1,1,2,9,2009,55,55,90170
1,1,7,10,2009,1,1,110013
1,1,7,10,2009,2,2,94595
1,1,7,10,2009,3,3,92289
1,1,7,10,2009,4,4,93691
1,1,7,10,2009,5,5,91784
1,1,7,10,2009,6,6,91278
1,1,7,10,2009,7,7,91640
1,1,7,10,2009,8,8,91190
1,1,7,10,2009,9,9,91218
1,1,7,10,2009,10,10,91589
1,1,7,10,2009,11,11,91008
1,1,7,10,2009,12,12,90452
1,1,7,10,2009,13,13,90487
1,1,7,10,2009,14,14,90828
1,1,7,10,2009,15,15,90767
1,1,7,10,2009,16,16,90740
1,1,7,10,2009,17,17,90808
1,1,7,10,2009,18,18,112574
1,1,7,10,2009,19,19,108911
1,1,7,10,2009,20,20,106570
1,1,7,10,2009,21,21,98660
1,1,7,10,2009,22,22,153569
1,1,7,10,2009,23,23,152406
1,1,7,10,2009,24,24,137218
1,1,7,10,2009,25,25,99219
1,1,7,10,2009,26,26,92187
1,1,7,10,2009,27,27,90994
1,1,7,10,2009,28,28,90733
1,1,7,10,2009,29,29,90759
1,1,7,10,2009,30,30,90264
1,1,7,10,2009,31,31,89535
1,1,7,10,2009,32,32,89849
1,1,7,10,2009,33,33,89717
1,1,7,10,2009,34,34,89694
1,1,7,10,2009,35,35,89405
1,1,7,10,2009,36,36,89706
1,1,7,10,2009,37,37,89691
1,1,7,10,2009,38,38,89852
1,1,7,10,2009,39,39,90204
1,1,7,10,2009,40,40,94462
1,1,7,10,2009,41,41,90290
1,1,7,10,2009,42,42,89268
1,1,7,10,2009,43,43,89654
1,1,7,10,2009,44,44,89118
1,1,7,10,2009,45,45,90208
1,1,7,10,2009,46,46,89832
1,1,7,10,2009,47,47,89983
1,1,7,10,2009,48,48,90421
1,1,7,10,2009,49,49,89832
1,1,7,10,2009,50,50,105619
1,1,7,10,2009,51,51,94846
1,1,7,10,2009,52,52,89466
1,1,7,10,2009,53,53,88416
1,1,7,10,2009,54,54,89179
1,1,7,10,2009,55,55,89330
1,1,7,10,2009,56,56,124187
